 Problem,,, Constructive Algorithm,,, Local Search,, GRASP, 
 Name, |V| or n, |E| or m, Randomized-1, Greedy-1, Semi-Greedy-1, local-1,, GRASP-1, 
,,,,,, Number of Iterations, Average Value, Number of Iterations, Best Value 
g1,800,19176,9589,10984,11151,50,11370,50,11448
g2,800,19176,9588,11039,11161,50,11375,50,11453
g3,800,19176,9589,11032,11153,50,11369,50,11469
g4,800,19176,9589,11085,11163,50,11377,50,11462
g5,800,19176,9589,11021,11172,50,11376,50,11462
g6,800,19176,78,1542,1645,50,1928,50,1981
g7,800,19176,-74,1377,1491,50,1757,50,1840
g8,800,19176,-84,1365,1493,50,1754,50,1851
g9,800,19176,-31,1473,1527,50,1801,50,1882
g10,800,19176,-79,1323,1476,50,1756,50,1839
g11,800,1600,18,432,440,50,424,50,480
g12,800,1600,-1,418,427,50,420,50,488
g13,800,1600,18,416,448,50,439,50,502
g14,800,4694,2349,2902,2936,50,2919,50,2993
g15,800,4661,2331,2865,2915,50,2904,50,2959
g16,800,4672,2337,2899,2920,50,2907,50,2977
g17,800,4667,2335,2884,2919,50,2908,50,2973
g18,800,4694,33,760,762,50,834,50,877
g19,800,4661,-56,699,674,50,747,50,823
g20,800,4672,-22,736,711,50,777,50,833
g21,800,4667,-33,716,691,50,767,50,859
g22,2000,19990,9996,12357,12640,50,12813,50,12999
g23,2000,19990,9996,12305,12644,50,12826,50,13005
g24,2000,19990,9996,12360,12634,50,12821,50,12998
g25,2000,19990,9996,12421,12648,50,12817,50,13002
g26,2000,19990,9996,12334,12653,50,12816,50,12964
g27,2000,19990,-20,2328,2496,50,2823,50,2915
g28,2000,19990,-51,2249,2460,50,2766,50,2893
g29,2000,19990,41,2381,2554,50,2879,50,3023
g30,2000,19990,51,2400,2558,50,2876,50,2975
g31,2000,19990,-39,2305,2466,50,2797,50,2930
g32,2000,4000,12,1026,1097,50,1053,50,1182
g33,2000,4000,-14,1010,1065,50,1036,50,1184
g34,2000,4000,-23,980,1070,50,1036,50,1170
g35,2000,11778,5890,7243,7365,50,7326,50,7465
g36,2000,11766,5884,7246,7355,50,7323,50,7467
g37,2000,11785,5893,7274,7364,50,7332,50,7468
g38,2000,11779,5890,7258,7362,50,7326,50,7484
g39,2000,11778,15,1938,1792,50,2015,50,2136
g40,2000,11766,-48,1828,1825,50,1989,50,2125
g41,2000,11785,-8,1866,1821,50,1994,50,2109
g42,2000,11779,61,1976,1880,50,2077,50,2178
g43,1000,9990,4996,6185,6307,50,6398,50,6481
g44,1000,9990,4996,6200,6301,50,6401,50,6482
g45,1000,9990,4996,6190,6301,50,6399,50,6478
g46,1000,9990,4996,6175,6301,50,6403,50,6492
g47,1000,9990,4996,6213,6311,50,6410,50,6494
g48,3000,6000,3001,6000,5689,50,5011,50,6000
g49,3000,6000,3001,6000,5707,50,5007,50,5866
g50,3000,6000,3001,5880,5708,50,5010,50,5820
g51,1000,5909,2956,3655,3687,50,3670,50,3748
g52,1000,5916,2959,3639,3693,50,3674,50,3755
g53,1000,5914,2958,3634,3687,50,3675,50,3744
g54,1000,5916,2959,3626,3687,50,3673,50,3749
